Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0,-498.2,0.0,498,0,50.0
100,-315.0,0.1,197,234,45.2
200,-465.7,0.0,441,47,50.0
300,-141.9,0.7,148,0,16.4
400,-65.1,0.7,0,140,16.8
500,-217.1,0.4,149,141,31.0
600,-89.4,0.6,0,187,21.2
700,-262.5,0.2,146,232,40.5
800,-214.1,0.4,146,141,30.7
900,-163.9,0.3,0,329,35.6
1000,-65.1,0.7,0,141,16.4
1100,-138.8,0.4,0,281,30.8
1200,-15.7,0.9,0,47,6.8
1300,8.5,1.0,0,0,2.5
1400,-40.4,0.8,0,94,11.6
1500,-16.0,0.9,0,46,7.5
1600,8.7,1.0,0,0,2.3
1700,8.9,1.0,0,0,2.1
1800,-15.7,0.9,0,46,7.2
1900,-16.4,0.9,0,47,7.5
2000,-40.7,0.8,0,94,11.9
2100,8.0,1.0,0,0,3.0
2200,8.7,1.0,0,0,2.3
2300,-15.8,0.9,0,47,6.9
2400,-16.6,0.9,0,47,7.7
2500,9.0,1.0,0,0,2.0
2600,-40.7,0.8,0,94,11.9
2700,9.1,1.0,0,0,1.9
2800,9.2,1.0,0,0,1.8
2900,-15.5,0.9,0,47,6.6
3000,9.0,1.0,0,0,2.0
3100,8.7,1.0,0,0,2.3
3200,-65.0,0.7,0,141,16.3
3300,-15.8,0.9,0,47,6.9
3400,8.8,1.0,0,0,2.2
3500,9.5,1.0,0,0,1.5
3600,8.4,1.0,0,0,2.6
3700,8.7,1.0,0,0,2.3
3800,-16.4,0.9,0,47,7.5
3900,8.4,1.0,0,0,2.6
4000,-16.7,0.9,0,47,7.8
4100,7.7,1.0,0,0,3.3
4200,-15.5,0.9,0,47,6.6
4300,8.6,1.0,0,0,2.4
4400,-15.8,0.9,0,47,6.9
4500,8.3,1.0,0,0,2.7
4600,-16.8,0.9,0,47,7.9
4700,7.9,1.0,0,0,3.1
4800,9.1,1.0,0,0,1.9
4900,8.3,1.0,0,0,2.7
5000,8.6,1.0,0,0,2.4
5100,-15.3,0.9,0,47,6.4
5200,8.2,1.0,0,0,2.8
5300,-15.6,0.9,0,47,6.7
5400,8.5,1.0,0,0,2.5
5500,8.8,1.0,0,0,2.2
5600,-16.9,0.9,0,47,8.0
5700,-114.0,0.5,0,234,25.9
5800,-16.3,0.9,0,47,7.4
5900,-15.5,0.9,0,47,6.6
6000,8.5,1.0,0,0,2.5
6100,9.0,1.0,0,0,2.0
6200,8.2,1.0,0,0,2.8
6300,-40.6,0.8,0,94,11.8
6400,9.1,1.0,0,0,1.9
6500,-114.3,0.5,0,235,25.8
6600,-40.6,0.8,0,94,11.8
6700,-40.6,0.8,0,94,11.8
6800,-15.8,0.9,0,47,6.9
6900,-16.4,0.9,0,47,7.5
7000,-65.2,0.7,0,141,16.5
7100,-16.3,0.9,0,47,7.4
7200,8.2,1.0,0,0,2.8
7300,-40.3,0.8,0,94,11.5
7400,-15.5,0.9,0,47,6.6
7500,-15.8,0.9,0,47,6.9
7600,8.9,1.0,0,0,2.1
7700,8.0,1.0,0,0,3.0
7800,9.4,1.0,0,0,1.6
7900,8.4,1.0,0,0,2.6
8000,9.0,1.0,0,0,2.0
8100,8.2,1.0,0,0,2.8
8200,8.6,1.0,0,0,2.4
8300,8.4,1.0,0,0,2.6
8400,8.7,1.0,0,0,2.3
8500,-16.4,0.9,0,47,7.5
8600,8.2,1.0,0,0,2.8
8700,8.7,1.0,0,0,2.3
8800,-16.8,0.9,0,47,7.9
8900,8.4,1.0,0,0,2.6
9000,8.7,1.0,0,0,2.3
9100,-15.9,0.9,0,47,7.0
9200,-40.3,0.8,0,94,11.5
9300,-16.0,0.9,0,47,7.1
9400,-15.8,0.9,0,47,6.9
9500,8.9,1.0,0,0,2.1
9600,8.4,1.0,0,0,2.6
9700,8.7,1.0,0,0,2.3
9800,8.7,1.0,0,0,2.3
9900,8.3,1.0,0,0,2.7
10000,8.7,1.0,0,0,2.3
