Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode
0.0,-4450.0,0.09000000000000001,440.7,9.4,45.599999999999994
100.0,-3001.1,0.32999999999999996,278.9,46.4,34.17
200.0,-2845.0,0.3,234.4,103.0,35.64
300.0,-2857.9,0.36000000000000004,264.7,46.8,32.8
400.0,-3204.0,0.23000000000000004,269.6,103.3,38.97
500.0,-2729.4,0.38,249.7,51.7,31.71
600.0,-3293.7,0.26,302.5,56.4,37.42
700.0,-2955.4,0.29,250.1,94.0,36.04
800.0,-2749.6,0.33,229.8,93.9,34.21
900.0,-2760.1,0.38,255.3,46.9,31.660000000000007
1000.0,-2953.0,0.30999999999999994,259.6,74.9,35.11
1100.0,-2909.2,0.32,255.3,75.2,34.589999999999996
1200.0,-2326.3,0.42000000000000004,190.7,89.2,29.939999999999998
1300.0,-1675.4,0.5399999999999999,122.3,98.3,24.09
1400.0,-2255.2,0.45999999999999996,196.1,65.6,27.85
1500.0,-2418.5,0.42000000000000004,211.5,65.7,29.840000000000003
1600.0,-2609.1,0.39,230.8,65.8,31.159999999999997
1700.0,-1253.7,0.6300000000000001,83.2,93.7,19.939999999999998
1800.0,-1621.1,0.53,107.0,117.4,24.68
1900.0,-1781.3,0.4999999999999999,123.0,117.2,26.05
2000.0,-1776.1,0.48,112.8,135.9,27.009999999999998
2100.0,-879.2,0.6900000000000001,39.1,108.1,17.08
2200.0,-1627.4,0.6,141.6,51.3,21.38
2300.0,-1404.4,0.5700000000000001,83.7,121.8,22.660000000000004
2400.0,-1346.4,0.5599999999999999,67.9,140.8,23.369999999999997
2500.0,-628.5,0.7400000000000001,14.6,107.8,14.729999999999999
2600.0,-1122.5,0.6799999999999999,82.4,69.8,17.65
2700.0,-945.2,0.64,29.0,139.8,19.54
2800.0,-883.9,0.6499999999999999,29.0,126.2,18.96
2900.0,-681.0,0.76,34.6,79.4,13.559999999999999
3000.0,-728.9,0.7300000000000001,29.2,98.2,15.36
3100.0,-853.2,0.7099999999999999,44.1,93.4,16.08
3200.0,-732.1,0.76,44.2,70.2,13.709999999999999
3300.0,-500.8,0.7799999999999999,9.6,93.0,12.819999999999999
3400.0,-851.2,0.6699999999999999,24.6,130.5,18.150000000000002
3500.0,-677.7,0.7100000000000001,10.0,126.1,16.14
3600.0,-356.8,0.8200000000000001,0.0,84.2,11.020000000000001
3700.0,-281.4,0.86,4.8,60.3,9.16
3800.0,-386.5,0.8300000000000001,10.0,70.4,10.620000000000001
3900.0,-182.2,0.8899999999999999,0.0,51.3,7.49
4000.0,-527.4,0.77,9.8,97.8,13.27
4100.0,-134.2,0.9099999999999999,0.0,42.1,6.590000000000001
4200.0,-208.9,0.8799999999999999,0.0,55.9,8.21
4300.0,-304.7,0.8399999999999999,0.0,74.7,9.829999999999998
4400.0,-330.5,0.8300000000000001,0.0,79.5,10.38
4500.0,-36.0,0.95,0.0,23.5,4.65
4600.0,-355.0,0.82,0.0,84.0,10.92
4700.0,-278.2,0.85,0.0,69.1,9.529999999999998
4800.0,-183.0,0.8900000000000002,0.0,51.2,7.609999999999998
4900.0,-255.2,0.86,0.0,65.1,8.940000000000001
5000.0,-84.6,0.93,0.0,32.6,5.65
5100.0,-59.5,0.9400000000000001,0.0,27.7,5.21
5200.0,-62.1,0.9400000000000001,0.0,28.1,5.31
5300.0,-9.4,0.9600000000000002,0.0,18.6,4.06
5400.0,-381.2,0.8100000000000002,0.0,89.0,11.430000000000001
5500.0,-181.8,0.89,0.0,51.1,7.529999999999999
5600.0,-208.2,0.8800000000000001,0.0,56.1,8.06
5700.0,-355.1,0.8200000000000001,0.0,84.1,10.889999999999999
5800.0,-158.6,0.9,0.0,46.7,7.080000000000001
5900.0,-255.4,0.86,0.0,65.0,9.0
6000.0,-232.6,0.8699999999999999,0.0,60.7,8.55
6100.0,-85.3,0.93,0.0,32.7,5.68
6200.0,-133.0,0.9099999999999999,0.0,41.9,6.55
6300.0,-209.6,0.8800000000000001,0.0,56.1,8.2
6400.0,-110.6,0.9199999999999999,0.0,37.5,6.180000000000001
6500.0,37.0,0.9800000000000001,0.0,9.3,3.3600000000000003
6600.0,-35.1,0.95,0.0,23.2,4.680000000000001
6700.0,-134.0,0.9099999999999999,0.0,41.9,6.65
6800.0,-109.0,0.9199999999999999,0.0,37.4,6.0600000000000005
6900.0,-159.4,0.9,0.0,46.7,7.160000000000001
7000.0,-59.3,0.9400000000000001,0.0,27.8,5.15
7100.0,-60.9,0.9399999999999998,0.0,28.0,5.2299999999999995
7200.0,-133.7,0.9099999999999999,0.0,42.0,6.58
7300.0,-255.4,0.86,0.0,65.2,8.920000000000002
7400.0,-257.7,0.8600000000000001,0.0,65.4,9.07
7500.0,62.7,0.99,0.0,4.6,2.7800000000000002
7600.0,-158.3,0.9,0.0,46.6,7.090000000000001
7700.0,-108.3,0.9200000000000002,0.0,37.2,6.069999999999999
7800.0,-35.9,0.95,0.0,23.3,4.720000000000001
7900.0,60.9,0.99,0.0,4.7,2.92
8000.0,-62.3,0.9400000000000001,0.0,27.8,5.45
8100.0,-61.1,0.9400000000000001,0.0,28.0,5.25
8200.0,35.3,0.9800000000000001,0.0,9.3,3.53
8300.0,-59.8,0.9400000000000001,0.0,27.9,5.159999999999998
8400.0,-61.2,0.9400000000000001,0.0,27.8,5.340000000000001
8500.0,13.2,0.97,0.0,14.1,3.71
8600.0,-61.3,0.9400000000000001,0.0,28.1,5.23
8700.0,-37.1,0.95,0.0,23.5,4.76
8800.0,-134.4,0.9099999999999999,0.0,42.0,6.65
8900.0,-13.4,0.96,0.0,18.6,4.46
9000.0,13.5,0.97,0.0,14.0,3.72
9100.0,-13.8,0.9600000000000002,0.0,18.8,4.42
9200.0,-11.4,0.96,0.0,18.5,4.3
9300.0,-11.8,0.96,0.0,18.5,4.339999999999999
9400.0,63.5,0.99,0.0,4.6,2.7
9500.0,-11.9,0.96,0.0,18.7,4.2700000000000005
9600.0,12.6,0.97,0.0,14.1,3.7699999999999996
9700.0,36.1,0.9800000000000001,0.0,9.4,3.4099999999999993
9800.0,-61.2,0.9400000000000002,0.0,27.9,5.3
9900.0,36.6,0.9800000000000001,0.0,9.4,3.3600000000000003
10000.0,-38.5,0.9500000000000002,0.0,23.3,4.9799999999999995
