Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-144.8,0.7,48,93,16.3,0.0
2600,8.4,1.0,0,0,2.6,2.4411001205444336
2700,9.4,1.0,0,0,1.6,4.711934566497803
2800,8.6,1.0,0,0,2.4,1.6873762607574463
2900,8.4,1.0,0,0,2.6,75.0137710571289
3000,-97.3,0.8,0,94,12.1,2.6573076248168945
3100,8.8,1.0,0,0,2.2,0.3563385605812073
3200,-43.5,0.9,0,46,7.4,6.333271503448486
3300,8.3,1.0,0,0,2.7,0.33847153186798096
3400,8.6,1.0,0,0,2.4,2.676239013671875
3500,8.0,1.0,0,0,3.0,6.641387939453125
3600,7.9,1.0,0,0,3.1,4.691476821899414
3700,-43.8,0.9,0,47,6.7,1.970574140548706
3800,8.0,1.0,0,0,3.0,23.33176040649414
3900,9.0,1.0,0,0,2.0,0.0
4000,-149.9,0.7,0,141,16.6,0.13139809668064117
4100,-201.9,0.6,0,187,21.5,0.6058365106582642
4200,9.1,1.0,0,0,1.9,0.0
4300,-44.4,0.9,0,47,7.3,75.44598388671875
4400,-44.4,0.9,0,47,7.3,11.222167015075684
4500,7.9,1.0,0,0,3.1,0.002325275680050254
4600,-97.6,0.8,0,94,12.4,2.1645193099975586
4700,-203.0,0.6,0,188,21.6,0.0
4800,-43.9,0.9,0,47,6.8,52.77806091308594
4900,8.6,1.0,0,0,2.4,1.9177290201187134
5000,-44.6,0.9,0,47,7.5,1.1682360172271729
5100,8.0,1.0,0,0,3.0,0.25153204798698425
5200,-44.4,0.9,0,47,7.3,1.4603521823883057
5300,-97.2,0.8,0,94,12.0,0.0
5400,8.4,1.0,0,0,2.6,4.702254295349121
5500,8.9,1.0,0,0,2.1,0.28692081570625305
5600,8.5,1.0,0,0,2.5,11.139660835266113
5700,8.7,1.0,0,0,2.3,0.0
5800,8.9,1.0,0,0,2.1,0.5491257905960083
5900,7.8,1.0,0,0,3.2,0.9464331269264221
6000,8.9,1.0,0,0,2.1,0.06384661048650742
6100,8.6,1.0,0,0,2.4,0.003020340809598565
6200,8.7,1.0,0,0,2.3,1.1079776287078857
6300,8.6,1.0,0,0,2.4,0.0
6400,-96.7,0.8,0,94,11.5,0.006410978734493256
6500,8.8,1.0,0,0,2.2,0.0
6600,8.6,1.0,0,0,2.4,0.0
6700,-44.5,0.9,0,47,7.4,0.0
6800,9.0,1.0,0,0,2.0,0.47221052646636963
6900,-44.3,0.9,0,47,7.2,2.0931384563446045
7000,-43.7,0.9,0,47,6.6,0.0014048484154045582
7100,-97.3,0.8,0,94,12.1,85.61335754394531
7200,-44.6,0.9,0,47,7.5,35.82793426513672
7300,8.4,1.0,0,0,2.6,0.0
7400,9.2,1.0,0,0,1.8,0.9056261777877808
7500,8.5,1.0,0,0,2.5,1.3162343502044678
7600,-44.5,0.9,0,47,7.4,0.0
7700,8.9,1.0,0,0,2.1,0.09297748655080795
7800,-44.2,0.9,0,47,7.1,0.0
7900,9.2,1.0,0,0,1.8,1.0902260541915894
8000,8.8,1.0,0,0,2.2,0.35212355852127075
8100,8.7,1.0,0,0,2.3,1.4165608882904053
8200,-44.7,0.9,0,47,7.6,9.886795997619629
8300,8.7,1.0,0,0,2.3,0.1997363418340683
8400,8.4,1.0,0,0,2.6,146.296142578125
8500,-44.0,0.9,0,47,6.9,9.614605903625488
8600,8.9,1.0,0,0,2.1,107.7821044921875
8700,-44.4,0.9,0,47,7.3,17.201091766357422
8800,8.6,1.0,0,0,2.4,2.0201313495635986
8900,8.9,1.0,0,0,2.1,15.135029792785645
9000,8.5,1.0,0,0,2.5,0.31365546584129333
9100,-361.1,0.3,0,329,35.4,25.929872512817383
9200,8.4,1.0,0,0,2.6,0.20608925819396973
9300,8.6,1.0,0,0,2.4,0.06486829370260239
9400,9.1,1.0,0,0,1.9,0.002865535207092762
9500,8.9,1.0,0,0,2.1,1.9160996675491333
