Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-97.3,0.8,0,94,12.1,0.0
3600,-487.4,0.0,486,0,50.0,100.0000228881836
3700,-290.2,0.4,140,138,30.6,36.20521926879883
3800,-394.4,0.2,396,0,40.2,26.742490768432617
3900,-139.9,0.7,146,0,16.2,22.4921875
4000,-355.3,0.3,98,235,35.4,165.4815216064453
4100,-200.2,0.6,0,185,21.8,67.75983428955078
4200,-150.3,0.7,0,141,17.0,0.0
4300,-436.4,0.1,436,0,45.1,83.80988311767578
4400,-401.0,0.2,144,233,40.6,0.20483165979385376
4500,-245.4,0.5,198,47,25.7,2.553541660308838
4600,-252.4,0.5,0,232,25.9,0.060948584228754044
4700,-304.1,0.4,0,278,30.5,254.4556427001953
4800,-146.1,0.7,48,94,16.6,10.61999225616455
4900,-294.0,0.4,195,92,30.9,0.44782474637031555
5000,-302.2,0.4,150,141,30.6,54.557865142822266
5100,-249.5,0.5,98,141,25.8,19.155765533447266
5200,-199.2,0.6,100,94,21.8,228.69662475585938
5300,-357.5,0.3,100,235,35.8,0.20965586602687836
5400,-255.6,0.5,0,235,26.1,8.352956771850586
5500,-351.0,0.3,97,231,36.0,111.81854248046875
5600,-351.4,0.3,198,141,35.5,440.50299072265625
5700,-255.0,0.5,0,234,26.5,241.0723419189453
5800,-352.3,0.3,199,141,35.5,0.09866736084222794
5900,-347.7,0.3,196,139,35.6,115.67505645751953
6000,-249.8,0.5,48,186,26.1,10.855240821838379
6100,-149.9,0.7,0,141,16.6,64.96174621582031
6200,-253.5,0.5,0,233,26.0,32.444862365722656
6300,-98.0,0.8,0,94,12.8,0.311087965965271
6400,-251.8,0.5,50,186,26.3,1316.9071044921875
6500,-188.0,0.6,141,47,20.7,42.46883010864258
6600,-304.6,0.4,100,188,31.0,107.07386779785156
6700,-356.0,0.3,100,233,36.3,9.2664155960083
6800,-403.7,0.2,146,234,40.5,67.56729125976562
6900,-200.0,0.6,49,141,21.5,52.74338912963867
7000,8.9,1.0,0,0,2.1,42.93904113769531
7100,-146.4,0.7,48,94,16.9,98.52458190917969
7200,-255.9,0.5,0,235,26.4,576.8893432617188
7300,-197.9,0.6,49,139,21.4,62.77000427246094
7400,-44.5,0.9,0,47,7.4,0.18346939980983734
7500,-360.1,0.3,0,328,35.4,230.56631469726562
7600,-252.1,0.5,0,231,26.6,250.89340209960938
7700,-308.6,0.4,0,282,31.0,482.1268005371094
7800,-297.9,0.4,95,186,30.8,4.775831699371338
7900,-354.6,0.3,49,278,35.8,2.9536032676696777
8000,-254.7,0.5,0,234,26.2,0.163152277469635
8100,-201.4,0.6,0,186,22.0,68.95813751220703
8200,-98.0,0.8,0,94,12.8,383.9588317871094
8300,-253.0,0.5,49,188,26.4,43.97846603393555
8400,-344.4,0.3,347,0,35.4,0.0016744674649089575
8500,-407.3,0.2,99,280,40.4,42.25733947753906
8600,-196.7,0.6,0,181,22.3,26.966781616210938
8700,-303.6,0.4,0,277,31.0,0.975689709186554
8800,-196.5,0.6,0,182,21.1,136.850830078125
8900,-90.0,0.8,97,0,11.5,0.9031285047531128
9000,-255.5,0.5,0,235,26.0,201.3138885498047
9100,-250.7,0.5,0,230,26.2,0.30478617548942566
9200,-300.0,0.4,147,141,31.1,94.71769714355469
9300,-249.5,0.5,98,141,25.8,23.174551010131836
9400,-300.0,0.4,147,141,31.1,3.7935595512390137
9500,-197.0,0.6,46,141,21.2,22.191566467285156
9600,-86.8,0.8,93,0,11.9,6.879574298858643
9700,-347.8,0.3,246,94,35.7,32.956947326660156
9800,-196.0,0.6,149,47,21.5,37.57868957519531
9900,-146.9,0.7,49,94,16.5,28.563390731811523
10000,-199.2,0.6,48,141,21.6,0.06774996966123581
10100,-149.9,0.7,0,141,16.6,0.020018605515360832
10200,-240.2,0.5,192,47,25.9,171.05810546875
10300,-141.8,0.7,148,0,16.3,2149.77587890625
10400,-252.4,0.5,50,187,25.9,302.7900695800781
10500,-45.3,0.9,0,47,8.2,38.086368560791016
10600,-286.2,0.4,288,0,31.4,6.969062805175781
10700,-145.7,0.7,49,93,16.3,77.0105972290039
10800,-44.0,0.9,0,46,7.9,0.0
10900,-96.5,0.8,0,93,12.3,0.10617853701114655
11000,-96.7,0.8,0,94,11.5,228.95335388183594
11100,-201.0,0.6,50,141,21.6,33.79205322265625
11200,-97.2,0.8,0,94,12.0,164.3212127685547
11300,-149.8,0.7,0,141,16.5,739.585205078125
11400,-293.5,0.4,297,0,30.6,451.302001953125
11500,-199.8,0.6,49,141,21.3,0.0018146513029932976
11600,-193.7,0.6,98,91,21.1,100.51124572753906
11700,-96.8,0.8,0,94,11.6,415.0916748046875
11800,-147.1,0.7,49,94,16.7,59.016571044921875
11900,-202.9,0.6,0,188,21.5,43.575843811035156
12000,-150.3,0.7,0,141,17.0,6.984348297119141
12100,-240.1,0.5,192,47,25.8,153.10919189453125
12200,-293.5,0.4,297,0,30.6,38.94157409667969
12300,-308.1,0.4,0,282,30.5,24.679113388061523
12400,-136.7,0.7,92,45,16.6,0.0
12500,-251.6,0.5,50,186,26.1,2.5746521949768066
12600,-358.5,0.3,50,281,35.8,210.66958618164062
12700,-295.4,0.4,194,94,31.2,0.0
12800,-147.3,0.7,49,94,16.9,129.58067321777344
12900,-202.6,0.6,0,188,21.2,131.95361328125
13000,-394.5,0.2,346,45,40.3,125.1185073852539
13100,-144.2,0.7,98,47,16.7,1.6366395950317383
13200,-304.2,0.4,50,233,30.6,23.573501586914062
13300,-146.3,0.7,0,137,17.0,165.81808471679688
13400,-96.6,0.8,0,94,11.4,18.047473907470703
13500,-300.7,0.4,96,188,30.7,292.78619384765625
