Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-350.7,0.2,333,29,41.6,0.0
100,-389.2,0.2,390,0,40.4,50.47384262084961
200,-393.2,0.1,349,87,45.4,0.0
300,-337.6,0.3,339,0,35.8,2.477059841156006
400,-443.7,0.1,444,0,45.2,116.73039245605469
500,-82.3,0.7,57,49,19.1,66.78976440429688
600,-341.9,0.3,344,0,35.6,82.60029602050781
700,-210.9,0.4,166,88,30.7,7.525200366973877
800,-259.8,0.2,165,183,40.3,17.199216842651367
900,-268.2,0.1,167,184,45.4,11.67015266418457
1000,-272.0,0.1,234,43,45.3,66.32791900634766
1100,-229.2,0.2,83,291,40.3,90.97158813476562
1200,-292.2,0.4,295,0,31.1,30.29071617126465
1300,-160.2,0.4,55,207,32.3,59.25412368774414
1400,-163.9,0.3,8,311,35.6,16.31476593017578
1500,-236.2,0.0,38,380,50.0,33.65348815917969
1600,-166.5,0.6,148,45,21.9,277.8066711425781
1700,-143.7,0.4,8,274,31.3,69.78925323486328
1800,-75.1,0.7,13,133,17.9,3513.160400390625
1900,-215.1,0.5,195,47,26.3,108.81021118164062
2000,-147.9,0.5,77,143,26.9,2.4091246128082275
2100,-264.5,0.3,230,61,36.4,16.245410919189453
2200,-19.7,0.9,4,47,7.2,53.86860275268555
2300,-38.4,0.8,10,61,13.8,0.0
2400,-43.6,0.8,4,89,13.2,5.540867328643799
2500,-105.3,0.5,16,172,27.6,25.73406982421875
2600,-81.7,0.5,9,130,27.1,6.040114879608154
2700,-164.1,0.5,100,132,26.8,2.572094440460205
2800,-152.2,0.5,127,43,26.2,110.91048431396484
2900,-39.8,0.6,6,49,21.4,6.8217244148254395
3000,-101.3,0.7,103,0,16.3,7.679349422454834
3100,-93.6,0.6,66,47,22.0,4.871306896209717
3200,-72.1,0.6,5,126,23.8,0.6440089344978333
3300,-51.3,0.7,31,36,16.7,1242.8389892578125
3400,-25.1,0.7,13,5,19.1,0.009722412563860416
3500,-68.2,0.4,11,78,31.5,0.8548192381858826
3600,-90.2,0.6,27,124,22.9,6.682496547698975
3700,-1.7,0.9,2,2,9.0,0.052320558577775955
3800,-22.5,0.7,0,29,18.6,42.94452667236328
3900,-13.5,0.7,4,0,17.6,1.6931535005569458
4000,-16.7,0.8,3,24,13.2,1579.3475341796875
4100,-39.1,0.7,11,45,18.9,68.02429962158203
4200,-67.6,0.6,14,98,22.4,146.26145935058594
4300,-100.8,0.4,0,185,31.2,36.51117706298828
4400,-0.9,0.9,3,0,8.1,155.16090393066406
4500,-23.8,0.9,12,37,8.1,31.345500946044922
4600,-34.5,0.6,1,46,21.8,4.345264911651611
4700,-21.8,0.9,3,46,10.6,66.64771270751953
