Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-486.5,0.0,485,0,50.0,0.0
100,-324.8,0.3,325,0,35.6,0.27698737382888794
200,-144.4,0.6,142,5,21.2,83.35094451904297
300,-234.0,0.5,237,0,26.2,5.7127580642700195
400,-12.9,0.9,14,1,9.8,127.72356414794922
500,-69.9,0.6,60,1,22.1,177.33233642578125
600,-18.4,0.6,3,0,22.3,16.243188858032227
700,-5.4,0.8,1,0,13.3,12.076516151428223
800,-7.8,0.8,4,0,13.0,7.585753917694092
900,3.0,1.0,3,0,5.3,10.436686515808105
1000,5.1,1.0,2,0,4.1,4.1559014320373535
1100,-5.4,0.9,1,16,8.0,3.9093143939971924
1200,5.3,1.0,1,2,4.0,0.775139331817627
1300,4.0,1.0,3,0,4.3,39.26253890991211
1400,7.7,1.0,0,0,3.3,13.897636413574219
1500,6.6,1.0,0,0,4.4,3.8410706520080566
1600,6.4,1.0,1,0,3.7,94.63065338134766
1700,1.0,0.9,1,0,8.0,0.20912303030490875
1800,8.1,1.0,0,0,2.9,0.467429518699646
1900,6.3,1.0,0,0,4.7,0.06882919371128082
2000,8.6,1.0,0,0,2.4,15.838286399841309
2100,8.0,1.0,0,0,3.0,0.0
2200,9.2,1.0,0,0,1.8,3.494692087173462
