Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-4.5,0.8,0,0,13.3,0.0
10500,-8.5,0.8,0,4,13.3,0.1883973479270935
10600,-4.3,0.8,0,0,13.1,1.2323734760284424
10700,2.6,0.9,0,0,7.3,0.0
10800,-5.0,0.8,0,1,12.8,0.1538911610841751
10900,-3.4,0.8,0,0,12.2,20.496763229370117
11000,-5.0,0.8,1,0,12.9,23.548185348510742
11100,0.0,0.9,0,0,9.9,196.36862182617188
11200,4.8,1.0,1,0,5.3,62.334720611572266
11300,-50.9,0.8,0,47,12.7,0.0
11400,8.2,1.0,0,0,2.8,25.794527053833008
11500,7.4,1.0,0,0,3.6,0.07604262232780457
11600,1.4,0.9,0,0,8.5,1.27433422676404e-05
11700,2.6,0.9,0,0,7.3,20.04448699951172
11800,-4.1,0.8,0,0,12.9,0.0
11900,-6.1,0.8,0,1,13.9,99.4708251953125
12000,2.2,0.9,0,0,7.7,16.14640998840332
12100,-3.2,0.9,7,0,6.8,11.154829978942871
12200,2.3,0.9,0,0,7.6,66.9139633178711
12300,-13.7,0.7,0,5,16.4,0.0
12400,-98.6,0.7,0,89,17.3,65.7430648803711
12500,-4.4,0.8,0,0,13.2,149.87301635742188
12600,-3.8,0.8,0,0,12.6,10.247690200805664
12700,-3.3,0.8,0,0,12.1,86.66722869873047
12800,-5.5,0.9,6,2,8.0,33.93959045410156
12900,-10.2,0.8,7,0,12.7,64.12527465820312
13000,8.1,1.0,0,0,2.9,4.191181182861328
13100,6.6,1.0,1,0,3.5,0.05720095708966255
13200,7.9,1.0,0,0,3.1,15.805026054382324
13300,2.8,0.9,0,0,7.1,0.0
13400,2.3,0.9,0,0,7.6,16.35167694091797
13500,-3.9,0.8,0,0,12.7,0.15008774399757385
13600,-4.4,0.8,0,0,13.2,38.56944274902344
