Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-169.0,0.2,145,1,40.3,0.0
100,-278.7,0.4,280,0,31.1,0.0
200,-168.4,0.6,157,31,21.3,1.045113444328308
300,-230.3,0.5,233,0,26.1,120.77062225341797
400,-229.6,0.5,231,1,26.8,3.5957813262939453
500,-3.3,1.0,10,2,4.5,14.987626075744629
600,-36.8,0.8,9,60,13.5,2.9572627544403076
700,-3.6,0.8,0,0,12.4,281.6437683105469
800,-42.3,0.8,2,92,12.5,10.086712837219238
900,-0.1,0.9,2,0,8.2,2.518947124481201
1000,6.5,1.0,0,1,4.1,106.51770782470703
1100,5.1,1.0,0,1,5.5,0.0
1200,8.2,1.0,0,0,2.8,41.2177619934082
1300,0.9,0.9,0,0,9.0,6.649827003479004
1400,2.2,0.9,0,1,7.3,1.129336953163147
0,-4.4,0.8,0,1,11.8,0.0
1500,6.1,1.0,1,0,4.0,0.0017271686811000109
1600,6.6,1.0,1,0,3.5,5.897541522979736
1700,8.6,1.0,0,0,2.4,42.661842346191406
1800,-26.2,0.8,0,16,12.6,32.54543685913086
1900,7.8,1.0,0,0,3.2,202.70706176757812
2000,5.7,1.0,3,0,2.6,0.9799580574035645
2100,-61.9,0.9,0,46,7.4,0.4147099554538727
2200,-63.5,0.9,2,46,7.2,0.9471049308776855
2300,6.2,1.0,2,0,3.0,9.024236679077148
2400,8.8,1.0,0,0,2.2,0.0
2500,7.6,1.0,0,0,3.4,2.509629011154175
2600,8.0,1.0,0,0,3.0,7.392258644104004
2700,8.2,1.0,0,0,2.8,27.68994903564453
2800,8.4,1.0,0,0,2.6,0.0014698529848828912
0,-44.3,0.9,11,36,8.3,0.0
2900,4.0,1.0,2,0,5.2,15.233348846435547
3000,-150.5,0.5,47,87,26.7,4.68936824798584
3100,-179.9,0.3,99,58,36.1,1.500004529953003
3200,-331.9,0.1,156,147,45.6,15.191153526306152
3300,-49.7,0.6,21,16,21.4,747.0076293945312
3400,5.0,1.0,3,0,3.3,238.36717224121094
3500,-24.9,0.9,12,15,9.0,1023.7890625
3600,-103.8,0.3,79,0,36.0,1009.1443481445312
3700,-62.1,0.8,24,36,13.3,5.116579532623291
3800,-16.6,0.8,14,0,12.8,193.5393524169922
3900,-99.1,0.7,20,71,17.8,97.83751678466797
4000,-120.1,0.7,20,92,17.8,60.05599594116211
4100,-44.0,0.9,50,0,8.9,71.28700256347656
4200,-182.8,0.6,186,1,21.0,56.13347244262695
4300,-25.0,0.7,0,16,16.7,2247.7890625
4400,-5.4,0.8,1,1,12.3,64.03858184814453
4500,-6.3,0.9,11,0,6.3,4.262517929077148
4600,-39.1,0.6,25,1,22.2,3.2366747856140137
4700,-37.8,0.6,14,10,21.8,29.884241104125977
4800,-19.3,0.7,11,0,17.1,85.33367919921875
4900,-79.9,0.7,14,58,17.0,23.731958389282227
5000,8.3,1.0,0,0,2.7,6.4144511222839355
5100,-44.9,0.9,0,47,7.8,20.853023529052734
5200,-67.4,0.7,11,48,17.2,28.604934692382812
5300,-8.4,0.8,5,0,12.7,2.4736087322235107
5400,-17.1,0.9,21,0,8.1,6.707873344421387
5500,-42.8,0.9,16,30,8.3,0.9780575037002563
5600,-37.3,0.7,30,0,18.0,29.02826690673828
5700,-66.3,0.8,0,63,12.1,139.09471130371094
5800,-129.6,0.6,20,97,21.2,120.602783203125
5900,-48.3,0.9,2,48,8.4,10.812687873840332
6000,-144.7,0.7,42,97,17.6,1.663309931755066
6100,-44.7,0.9,11,37,7.7,14.650568962097168
6200,-10.7,0.9,9,4,8.5,22.972000122070312
6300,-10.6,0.9,7,4,10.2,0.5006999373435974
6400,-3.9,0.8,0,1,11.7,1.3162704706192017
6500,-16.8,0.7,7,0,18.2,6.1185479164123535
6600,5.8,1.0,2,0,3.4,5.689918518066406
6700,-24.5,0.7,17,0,16.9,5.311853885650635
6800,-35.0,0.5,15,0,27.0,0.02254904992878437
6900,2.3,0.9,0,0,7.6,10.660009384155273
7000,-57.3,0.7,0,48,17.0,85.06963348388672
7100,2.8,0.9,0,0,7.1,22.036968231201172
7200,-5.4,0.9,7,1,8.0,41.70814514160156
7300,-18.0,0.7,10,0,16.7,89.06732177734375
7400,8.1,1.0,0,0,2.9,17.348400115966797
7500,-8.0,0.9,10,1,7.9,4.950291633605957
7600,2.2,0.9,0,0,7.7,77.69027709960938
7700,-33.9,0.7,9,16,17.5,4.1011834144592285
7800,-52.0,0.8,16,34,12.4,1.8176119327545166
7900,-61.3,0.7,5,47,17.5,15.772247314453125
8000,-3.3,0.8,0,0,12.1,30.890607833862305
8100,8.6,1.0,0,0,2.4,0.4303368031978607
8200,-12.1,0.8,9,0,12.8,0.06120501458644867
8300,-29.0,0.7,0,20,16.7,18.388090133666992
8400,2.9,0.9,0,0,7.0,6.203357219696045
8500,-6.2,0.8,1,1,13.1,22.468719482421875
8600,-67.2,0.7,10,47,18.9,28.063806533813477
8700,5.3,1.0,1,1,3.8,62.16676330566406
8800,-17.4,0.7,7,1,17.8,3.1552484035491943
8900,7.9,1.0,0,0,3.1,41.912193298339844
9000,5.8,1.0,0,1,4.2,52.8499755859375
9100,-18.3,0.7,0,8,18.0,3.039685010910034
9200,-3.8,0.8,0,0,12.6,32.3699836730957
9300,-5.8,0.8,0,1,13.6,2.421098232269287
9400,0.2,0.9,0,1,8.7,64.63584899902344
9500,6.9,1.0,0,0,4.1,0.0
9600,7.5,1.0,0,0,3.5,0.0
9700,7.8,1.0,0,0,3.2,16.342044830322266
9800,-69.9,0.7,0,60,17.6,7.714259624481201
9900,-58.7,0.8,9,47,12.4,35.044132232666016
10000,2.3,1.0,2,1,5.9,0.0
10100,6.2,1.0,0,1,3.8,80.58091735839844
10200,-95.9,0.7,95,1,17.1,0.5730059146881104
10300,-21.2,0.6,7,0,21.5,71.8549575805664
10400,-30.7,0.5,10,1,26.2,51.41178512573242
10500,-101.8,0.7,0,93,16.5,0.0
10600,-4.7,0.8,0,1,12.5,123.50553131103516
10700,-8.7,0.7,0,0,16.4,0.08222601562738419
10800,2.8,0.9,0,0,7.1,0.026646504178643227
10900,-3.7,0.8,1,0,11.6,44.86869812011719
11000,1.0,0.9,0,0,8.9,18.029199600219727
11100,-10.1,0.7,1,0,16.9,7.255253314971924
11200,-1.9,0.9,3,0,9.1,556.3336181640625
11300,9.0,1.0,0,0,2.0,56.683467864990234
11400,-2.7,0.9,5,0,8.1,0.6276369094848633
11500,-7.8,0.8,5,0,12.1,231.75225830078125
11600,-1.1,0.9,2,0,9.2,0.07673980295658112
11700,-2.9,0.8,0,0,11.7,6.631223201751709
11800,-11.5,0.8,9,0,12.2,15.521041870117188
11900,-28.7,0.8,26,1,13.1,2.2645230293273926
12000,7.7,1.0,0,0,3.3,0.0
12100,2.5,0.9,0,0,7.4,125.81794738769531
12200,-31.1,0.6,0,16,21.7,104.81859588623047
12300,-89.7,0.6,29,48,22.2,108.51358795166016
12400,-2.8,0.8,0,0,11.6,1.6703085899353027
12500,-3.4,0.8,0,0,12.2,0.0
12600,-12.6,0.9,0,15,7.5,167.07781982421875
12700,5.8,1.0,0,1,4.2,1.1905828714370728
12800,-7.3,0.9,10,0,8.2,0.0
12900,8.0,1.0,0,0,3.0,14.663290977478027
13000,-4.8,0.8,0,0,13.6,0.8608397245407104
