Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-279.5,0.3,214,132,37.4,0.0
100,-334.3,0.3,335,0,36.1,102.03992462158203
200,-290.5,0.4,293,0,31.2,114.39231872558594
300,-43.7,0.8,3,91,13.4,37.73513412475586
400,-12.4,0.9,7,15,10.0,3.007781982421875
500,-99.5,0.5,3,191,25.9,5.0249223709106445
600,-33.9,0.8,14,43,12.9,13.937031745910645
700,-58.1,0.7,11,95,17.9,1.4975818395614624
800,7.0,1.0,0,0,4.0,35.46271514892578
900,6.7,1.0,0,1,3.9,24.085670471191406
1000,0.8,0.9,1,0,8.2,6.525778770446777
1100,7.7,1.0,0,2,2.5,12.01235294342041
1200,7.5,1.0,0,0,3.5,10.52772045135498
1300,7.8,1.0,0,0,3.2,38.7098274230957
1400,7.6,1.0,0,0,3.4,0.4122372567653656
1500,6.9,1.0,0,0,4.1,118.78812408447266
0,7.2,1.0,0,0,3.8,0.0
1600,8.2,1.0,0,0,2.8,0.0
1700,7.0,1.0,0,0,4.0,109.56196594238281
1800,6.5,1.0,1,1,2.2,0.060303542762994766
1900,-3.5,0.8,0,0,12.3,1.2575949430465698
2000,6.6,1.0,1,0,3.5,2.219297170639038
2100,8.1,1.0,0,0,2.9,31.75102996826172
2200,8.0,1.0,0,0,3.0,0.0
2300,8.0,1.0,0,0,3.0,0.1744125932455063
2400,7.8,1.0,0,0,3.2,0.044911812990903854
2500,7.8,1.0,0,0,3.2,50.1513557434082
0,-69.5,0.8,48,21,14.1,0.0
2600,-64.1,0.8,36,28,12.5,103.23780822753906
2700,-4.7,0.8,1,1,11.6,39.89406204223633
2800,-127.4,0.6,50,67,22.0,0.10463106632232666
2900,6.0,1.0,0,2,3.0,0.0
3000,-4.0,0.9,6,0,8.5,1.912297010421753
3100,-41.7,0.9,48,0,8.4,17.279964447021484
3200,-74.3,0.6,14,46,22.3,128.5787811279297
3300,6.8,1.0,1,0,3.3,6.384805679321289
3400,1.6,0.9,0,0,8.3,7.581877708435059
3500,-3.7,0.8,0,0,12.5,228.09791564941406
3600,-9.4,0.7,0,0,17.1,201.00393676757812
3700,-50.9,0.3,20,0,36.2,5.267594337463379
3800,-93.8,0.8,0,91,11.6,0.0
3900,-115.8,0.7,15,94,16.0,50.77274703979492
4000,-99.8,0.7,43,52,16.8,38.702083587646484
4100,-7.5,0.9,10,0,8.4,0.0
4200,-35.4,0.5,16,0,26.5,6.474375247955322
4300,-115.2,0.7,43,67,17.2,57.484188079833984
