Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-420.6,0.1,418,418,45.5,0.0
100,-477.5,0.0,475,475,50.0,46.84394836425781
200,-404.6,0.0,394,394,50.0,90.0927505493164
300,-244.9,0.4,240,240,33.3,28.73525047302246
400,-426.8,0.1,425,425,45.4,27.70246696472168
500,-488.3,0.0,487,487,50.0,66.75685119628906
600,-335.1,0.2,330,330,40.3,100.0
700,-438.7,0.1,438,438,45.6,67.10138702392578
800,-89.1,0.1,50,50,45.2,100.0
900,-398.3,0.0,387,387,50.0,196.19444274902344
1000,-437.9,0.1,437,437,45.7,112.86906433105469
1100,-409.0,0.1,405,405,45.6,12.243966102600098
1200,-260.7,0.2,247,247,40.6,69.67903137207031
1300,-425.7,0.1,424,424,45.2,97.9176025390625
1400,-442.4,0.0,436,436,50.0,23.297901153564453
1500,-440.9,0.1,441,441,45.1,12.366325378417969
1600,-476.6,0.0,474,474,50.0,45.044464111328125
1700,-485.6,0.0,484,484,50.0,76.62860107421875
1800,-434.6,0.1,434,434,45.1,28.621177673339844
1900,-485.6,0.0,484,484,50.0,2.096389055252075
2000,-377.3,0.2,377,377,40.2,0.006853614468127489
2100,-39.3,0.2,0,0,41.5,70.07968139648438
2200,-317.6,0.3,317,317,35.6,28.059471130371094
2300,-384.3,0.1,378,378,45.2,177.5138702392578
2400,-296.8,0.3,292,292,37.3,51.25986099243164
2500,-307.4,0.0,286,286,50.0,92.29713439941406
2600,-493.7,0.0,493,493,50.0,633.4093627929688
2700,-490.1,0.0,489,489,50.0,4.26455020904541
2800,-430.7,0.0,423,423,50.0,1.871559739112854
2900,-423.8,0.1,422,422,45.1,100.0
3000,-294.9,0.3,289,289,38.1,55.9636344909668
3100,-403.1,0.1,399,399,45.1,83.74304962158203
3200,-256.7,0.2,243,243,40.2,54.952938079833984
3300,-269.0,0.1,250,250,45.1,64.56851959228516
3400,-45.3,0.1,0,0,46.4,76.20816040039062
3500,-441.9,0.1,442,442,45.2,54.567955017089844
3600,-437.9,0.0,431,431,50.0,7.41817569732666
3700,-343.4,0.0,326,326,50.0,64.97112274169922
3800,-50.0,0.0,0,0,50.0,43.953372955322266
3900,-321.8,0.2,314,314,41.4,100.0
4000,-349.3,0.1,339,339,45.3,26.566776275634766
4100,-460.4,0.0,456,456,50.0,39.00139236450195
