Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-433.0,0.1,432,432,45.3,0.0
100,-491.9,0.0,491,491,50.0,99.17901611328125
200,-483.8,0.0,482,482,50.0,37.13037109375
300,-491.9,0.0,491,491,50.0,33.17402267456055
400,-230.0,0.0,200,200,50.0,145.74705505371094
500,-473.9,0.0,471,471,50.0,0.0
600,-440.6,0.1,440,440,45.7,82.42938995361328
700,-315.5,0.0,295,295,50.0,0.4371470510959625
800,-487.4,0.0,486,486,50.0,86.24430847167969
900,-491.0,0.0,490,490,50.0,0.7556706666946411
1000,-491.0,0.0,490,490,50.0,89.88240051269531
1100,-485.6,0.0,484,484,50.0,65.82199096679688
1200,-443.7,0.1,444,444,45.2,231.7783966064453
1300,-392.9,0.0,381,381,50.0,30.790510177612305
1400,-481.1,0.0,479,479,50.0,16.120954513549805
1500,-493.7,0.0,493,493,50.0,87.56734466552734
1600,-431.6,0.0,424,424,50.0,28.98407554626465
1700,-340.6,0.2,335,335,41.3,0.0645691528916359
1800,-477.5,0.0,475,475,50.0,0.6614958643913269
1900,-82.9,0.1,43,43,45.3,53.14678192138672
2000,-181.4,0.0,146,146,50.0,68.45658874511719
2100,-347.3,0.1,337,337,45.1,255.67295837402344
2200,-44.5,0.1,0,0,45.6,373.1897277832031
2300,-73.8,0.1,32,32,46.1,138.521240234375
2400,-360.5,0.0,345,345,50.0,20.935134887695312
2500,-332.7,0.2,327,327,40.6,58.57564926147461
2600,-356.0,0.0,340,340,50.0,296.9952697753906
2700,-314.6,0.0,294,294,50.0,32.344444274902344
2800,-178.7,0.0,143,143,50.0,60.057769775390625
2900,-83.3,0.2,50,50,40.5,48.16141128540039
3000,-288.7,0.3,282,282,38.2,31.658479690551758
3100,-254.1,0.2,239,239,41.2,0.07145930081605911
3200,-133.7,0.0,93,93,50.0,4.028983116149902
3300,-348.1,0.2,344,344,40.7,14.525850296020508
3400,-126.8,0.1,91,91,46.0,14.074748039245605
3500,-409.1,0.0,399,399,50.0,81.77197265625
3600,-87.8,0.0,42,42,50.0,0.5452113151550293
3700,-39.2,0.2,0,0,41.4,0.7845527529716492
3800,-44.3,0.1,0,0,45.4,0.8486863970756531
3900,-50.0,0.0,0,0,50.0,2.991420269012451
4000,-139.1,0.0,99,99,50.0,0.0
4100,-95.0,0.0,50,50,50.0,2.1878814697265625
