Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-393.0,0.2,394,0,40.6,0.0
100,-391.7,0.2,393,0,40.2,0.5929017066955566
200,-243.3,0.5,247,0,26.5,0.0
300,-208.9,0.4,98,188,31.1,3.5378382205963135
400,-50.1,0.8,0,94,11.9,0.029207905754446983
500,-218.1,0.3,50,281,35.9,0.14340955018997192
600,8.4,1.0,0,0,2.6,430.07379150390625
700,-194.8,0.3,0,325,35.6,81.9150390625
800,-108.4,0.6,0,187,21.5,0.27679944038391113
900,-78.7,0.7,0,140,16.4,13.285965919494629
1000,-20.5,0.9,0,47,6.9,4.961709499359131
1100,-20.0,0.9,0,46,6.9,22.17247772216797
1200,-49.2,0.8,0,93,11.5,0.3981688618659973
1300,-20.4,0.9,0,47,6.8,0.0
1400,8.3,1.0,0,0,2.7,1.1096104383468628
1500,-21.0,0.9,0,46,7.9,4.661118984222412
1600,-49.8,0.8,0,94,11.6,0.8663228750228882
1700,8.7,1.0,0,0,2.3,0.0964927151799202
1800,8.8,1.0,0,0,2.2,76.69034576416016
1900,8.3,1.0,0,0,2.7,27.31315803527832
2000,7.8,1.0,0,0,3.2,0.02729174681007862
2100,-20.7,0.9,0,47,7.1,19.244657516479492
2200,8.9,1.0,0,0,2.1,0.0
2300,8.7,1.0,0,0,2.3,0.0
2400,8.0,1.0,0,0,3.0,1.455590844154358
2500,8.8,1.0,0,0,2.2,5.016473293304443
2600,8.5,1.0,0,0,2.5,3.8010599613189697
