Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-390.9,0.2,392,0,40.3,0.0
100,-492.8,0.0,492,0,50.0,0.02583463303744793
200,-36.0,0.7,5,44,17.2,31.22002410888672
300,-27.7,0.8,18,15,12.8,1.036942720413208
400,6.7,1.0,1,0,3.4,5.3593950271606445
500,-20.6,0.9,0,46,7.5,22.929895401000977
600,-95.7,0.7,47,88,17.1,7.1673173904418945
700,-22.7,0.9,2,47,7.3,54.15694808959961
800,6.5,1.0,0,0,4.5,101.12708282470703
900,-16.9,0.8,0,25,13.2,4.770347595214844
1000,5.4,1.0,1,2,3.7,11.386579513549805
1100,-16.5,0.8,1,24,12.4,4.959868907928467
1200,8.3,1.0,0,0,2.7,3.847789764404297
1300,-3.8,0.8,1,0,11.7,5.052344799041748
1400,0.3,0.9,0,0,9.6,6.1049652099609375
1500,1.4,0.9,0,0,8.5,9.056255340576172
1600,-28.1,0.7,20,0,17.8,0.37836629152297974
1700,6.6,1.0,0,0,4.4,0.0206291563808918
1800,8.2,1.0,0,0,2.8,45.58430099487305
1900,7.5,1.0,0,0,3.5,1.4611679315567017
2000,7.1,1.0,0,0,3.9,1.088660717010498
2100,8.7,1.0,0,0,2.3,12.862699508666992
0,-160.6,0.5,32,79,26.7,0.0
2200,-152.5,0.5,33,72,27.5,0.0
2300,-385.3,0.4,89,198,32.4,17.916139602661133
2400,-235.5,0.6,99,93,22.8,13.826094627380371
2500,-332.6,0.3,264,44,36.7,17.540212631225586
2600,-299.2,0.4,255,31,30.7,2.1015453338623047
2700,-28.0,0.8,2,16,12.6,85.56729888916016
2800,-41.4,0.6,29,0,21.9,1.190313458442688
2900,-37.1,0.7,12,12,17.2,0.6397592425346375
3000,-42.2,0.6,28,1,22.2,1.1610829830169678
3100,-69.0,0.7,1,42,17.0,0.7668704986572266
3200,-6.7,0.8,3,0,12.8,0.3183382451534271
3300,6.9,1.0,0,0,4.1,7.783061981201172
3400,-6.3,0.9,9,0,8.1,0.0
3500,-23.8,0.6,10,0,21.4,2.4389870166778564
3600,-67.0,0.9,0,48,9.7,199.24441528320312
3700,3.2,0.9,0,0,6.7,8.756186485290527
3800,-89.7,0.6,10,47,21.5,0.0
3900,1.9,0.9,0,0,8.0,2.0597543716430664
4000,-29.4,0.7,0,14,17.5,0.10753587633371353
4100,6.6,1.0,0,1,3.0,53.238433837890625
4200,-2.8,0.9,5,0,8.2,0.0
4300,-94.4,0.6,43,29,21.7,18.799047470092773
4400,8.0,1.0,0,0,3.0,186.80857849121094
4500,-4.1,0.8,0,0,12.9,0.04273172840476036
4600,-11.5,0.8,9,0,12.2,150.6644744873047
4700,-15.9,0.9,5,10,7.3,12.15173053741455
4800,-14.0,0.9,11,3,9.8,4.439297676086426
4900,-6.2,0.9,9,0,8.0,27.737152099609375
5000,-56.7,0.6,32,8,23.3,0.7538082003593445
5100,0.6,0.9,0,0,9.3,8.07563591003418
5200,-27.2,0.7,17,0,19.6,3.711491584777832
5300,-31.9,0.7,0,16,17.2,83.54269409179688
5400,-63.1,0.9,0,47,7.2,0.005765165667980909
5500,-9.3,0.9,0,8,8.0,14.654314994812012
5600,-28.3,0.8,26,0,13.7,5.736739635467529
5700,-17.7,0.7,9,0,17.3,1.0674870014190674
5800,-4.6,0.8,1,0,12.5,42.01360321044922
5900,1.4,0.9,0,0,8.5,1.3893684148788452
6000,-52.3,0.7,2,29,17.6,111.66647338867188
6100,4.3,1.0,0,2,3.9,13.081937789916992
6200,-7.6,0.8,5,0,11.9,7.955206394195557
6300,-1.7,0.9,5,0,7.1,271.52349853515625
6400,-14.3,0.7,5,0,17.5,42.20532989501953
6500,8.2,1.0,0,0,2.8,45.66908645629883
6600,-4.7,0.8,1,0,12.6,3.0454623699188232
6700,-74.5,0.5,60,0,26.0,0.005497386679053307
6800,-48.1,0.8,49,0,12.8,46.427608489990234
6900,8.1,1.0,0,0,2.9,149.3086395263672
7000,2.0,0.9,0,0,7.9,0.6660614609718323
7100,-3.6,0.8,0,0,12.4,198.7816619873047
7200,-9.0,0.9,10,1,8.5,4.756377220153809
7300,-20.9,0.7,10,1,18.2,0.4983677864074707
7400,2.0,0.9,0,0,7.9,202.60060119628906
7500,2.0,0.9,0,0,7.9,14.938621520996094
7600,0.0,0.9,0,1,8.5,0.21137811243534088
7700,-4.1,0.8,0,0,12.9,6.3942461013793945
7800,-3.7,0.8,0,0,12.5,156.75296020507812
7900,-3.9,0.8,0,0,12.7,1.215349555015564
8000,-41.8,0.7,34,1,17.5,35.58966827392578
8100,-53.9,0.6,15,18,21.8,4.066389560699463
8200,-5.8,0.9,10,0,6.7,0.0
8300,-3.3,0.8,0,0,12.1,17.966733932495117
8400,-18.6,0.8,17,0,12.1,26.85683250427246
8500,8.1,1.0,0,0,2.9,1.9177818298339844
8600,0.0,0.9,1,0,9.0,63.643959045410156
8700,9.0,1.0,0,0,2.0,1.513882040977478
8800,-3.3,0.8,0,0,12.1,0.09965598583221436
8900,1.7,0.9,0,0,8.2,10.11544132232666
9000,1.9,0.9,0,0,8.0,7.526221752166748
9100,2.6,0.9,0,0,7.3,8.668078422546387
9200,-3.4,0.8,0,0,12.2,0.0007302080630324781
9300,-5.8,0.8,0,1,13.2,11.275041580200195
9400,-2.2,0.9,5,0,7.6,0.0
9500,-6.3,0.8,0,1,13.7,43.756343841552734
9600,-9.0,0.8,0,4,12.2,15.812514305114746
9700,-3.9,0.8,0,0,12.7,1.4455506801605225
9800,-74.1,0.7,0,46,17.4,2.7374870777130127
9900,1.8,0.9,0,0,8.1,140.20724487304688
10000,4.5,1.0,0,1,5.1,0.06020452082157135
10100,-1.2,0.9,0,0,11.1,1.7575154304504395
10200,6.3,1.0,0,1,3.3,1.995593786239624
10300,-2.3,0.9,4,0,8.6,1.0767543315887451
10400,2.2,0.9,0,0,7.7,25.88028907775879
10500,-61.8,0.8,0,42,11.8,222.72645568847656
10600,-82.8,0.6,0,48,22.2,2.3229281902313232
10700,-4.0,0.8,0,0,12.8,146.6023712158203
10800,-3.0,0.8,0,0,11.8,0.026536090299487114
10900,7.7,1.0,0,0,3.3,0.0
11000,1.8,0.9,0,0,8.1,33.83320999145508
11100,-35.6,0.6,0,14,22.6,0.6743230819702148
11200,0.5,0.9,0,1,8.0,3.0972118377685547
11300,-8.4,0.9,0,8,7.1,0.040183428674936295
11400,-3.8,0.8,0,0,12.6,6.826756954193115
11500,-2.9,0.8,0,0,11.7,25.511985778808594
11600,2.5,0.9,0,0,7.4,5.155383110046387
11700,-3.5,0.8,0,0,12.3,1.8050130605697632
11800,-6.0,0.9,9,0,7.8,1.805146336555481
11900,-141.4,0.6,0,90,22.0,28.938295364379883
12000,2.0,0.9,0,0,7.9,119.2368392944336
12100,0.0,0.9,0,1,8.5,8.140934369293973e-05
