Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-384.0,0.2,384,0,40.6,0.0
100,-384.7,0.2,385,0,40.4,0.006839657202363014
200,-41.1,0.9,48,0,7.8,43.9927978515625
300,-185.6,0.6,171,29,23.8,8.489069938659668
400,-183.8,0.5,180,0,27.3,0.9745877981185913
500,3.9,1.0,2,0,5.3,266.6920166015625
600,7.5,1.0,0,0,3.5,34.764320373535156
0,-117.9,0.7,95,47,16.6,0.0
700,-97.7,0.6,47,78,23.0,5.931136131286621
800,-136.5,0.4,113,14,32.2,65.60286712646484
900,-337.0,0.1,195,235,45.1,15.295345306396484
1000,-253.5,0.4,217,62,31.6,7.469454765319824
1100,-119.4,0.6,45,124,23.5,2.812972068786621
1200,-71.4,0.7,60,17,16.6,1.1313475370407104
1300,-24.9,0.9,5,46,7.3,57.85316467285156
1400,-9.5,0.9,5,14,7.9,49.945499420166016
1500,-71.9,0.7,10,106,17.6,0.8497409820556641
1600,-32.2,0.7,12,24,17.1,0.052685488015413284
1700,-29.5,0.7,6,28,17.8,4.545741081237793
1800,-127.7,0.5,61,103,26.8,30.811321258544922
1900,0.1,0.9,1,2,7.9,18.705854415893555
2000,-35.4,0.8,6,48,14.8,0.0
2100,5.1,1.0,2,1,3.6,18.878555297851562
2200,-80.1,0.7,1,139,17.4,0.251192569732666
2300,-21.0,0.9,0,46,7.9,1.297216534614563
2400,-20.1,0.9,0,45,7.5,21.210844039916992
2500,-50.4,0.8,1,91,12.8,0.08567430078983307
2600,-78.7,0.7,1,135,18.0,4.140463829040527
2700,-39.2,0.7,6,48,17.5,0.4301910400390625
2800,-12.6,0.8,1,14,13.5,92.78490447998047
2900,-48.7,0.6,0,65,22.8,1.4479246601695195e-05
3000,-50.1,0.8,0,92,12.9,11.349990844726562
3100,-48.0,0.6,1,64,21.7,0.0
3200,-14.9,0.8,1,19,13.3,0.22318311035633087
3300,-8.7,0.9,2,15,9.3,3.213782787322998
3400,-32.7,0.8,0,59,12.0,13.960773468017578
3500,8.4,1.0,0,0,2.6,0.10532475262880325
3600,-26.8,0.8,0,48,11.6,0.23892734944820404
3700,-9.4,0.8,0,10,13.2,7.685164928436279
3800,-58.7,0.7,0,99,16.9,0.0
3900,-31.3,0.8,0,52,14.1,47.619720458984375
4000,-25.7,0.8,0,45,12.0,0.11585250496864319
4100,-56.9,0.7,0,94,17.6,20.652999877929688
4200,-1.8,0.9,0,9,7.2,16.393781661987305
4300,-16.6,0.8,9,8,13.3,0.005825933068990707
4400,-38.4,0.6,0,47,21.5,4.6046833992004395
4500,8.5,1.0,0,0,2.5,0.7264871001243591
4600,-39.9,0.7,0,61,17.1,143.36647033691406
4700,-29.4,0.6,16,0,21.6,4.114079475402832
4800,-3.7,0.9,0,9,9.1,29.782094955444336
4900,-46.2,0.6,7,48,22.5,19.7424259185791
5000,-25.2,0.7,0,30,17.9,8.072335243225098
5100,-19.2,0.7,1,16,18.0,5.234241962432861
5200,5.9,1.0,0,0,5.1,0.605160653591156
0,-3.7,0.9,0,6,7.6,0.0
5300,1.6,0.9,0,0,8.3,11.123562812805176
5400,-12.9,0.9,0,13,9.8,4.63631010055542
5500,-13.6,0.8,0,8,14.4,0.03135940805077553
5600,-12.0,0.8,0,8,12.8,2.7754857540130615
5700,-2.0,0.9,0,2,9.9,7.632516860961914
5800,2.3,0.9,0,0,7.6,1.0436173677444458
5900,1.7,0.9,0,0,8.2,10.98563289642334
6000,-31.9,0.8,0,28,12.7,0.0
6100,-12.5,0.9,0,12,10.4,1.9153869152069092
6200,7.3,1.0,0,0,3.7,10.570457458496094
6300,5.0,1.0,0,2,4.0,20.426610946655273
6400,8.5,1.0,0,0,2.5,0.17433573305606842
6500,6.4,1.0,0,1,3.6,83.73921203613281
6600,-49.2,0.7,0,39,17.9,2.1503043174743652
6700,-13.0,0.8,0,10,11.8,16.630870819091797
6800,-16.4,0.9,0,16,10.3,0.0004738291318062693
6900,2.8,1.0,0,2,6.2,2.1342992782592773
7000,-29.0,0.8,0,24,13.8,0.9145329594612122
7100,-43.4,0.9,0,46,7.3,50.12107849121094
7200,-30.5,0.8,0,25,14.3,0.5352857112884521
7300,-43.8,0.9,0,47,6.7,2.5849978923797607
7400,-5.8,0.8,0,2,12.6,19.538450241088867
7500,-14.3,0.9,1,14,9.3,82.70841217041016
7600,-15.6,0.8,0,12,12.4,35.59604263305664
7700,-14.2,0.9,0,14,10.1,0.8458054065704346
7800,-12.8,0.9,0,14,8.7,0.34206104278564453
7900,-15.2,0.9,0,17,8.1,1.0332567691802979
8000,-19.7,0.8,0,16,12.5,11.668840408325195
8100,4.7,1.0,0,2,4.3,2.5129234790802
8200,-7.6,0.9,0,9,8.5,23.741567611694336
8300,-50.5,0.7,0,42,16.2,5.162011623382568
8400,1.4,0.9,0,0,8.5,7.305845737457275
8500,-6.7,0.8,0,2,13.5,9.197463035583496
8600,-25.3,0.8,0,22,12.1,0.286091685295105
8700,8.7,1.0,0,0,2.3,47.0374870300293
8800,2.5,0.9,0,0,7.4,10.352571487426758
8900,-16.9,0.9,9,8,10.7,0.7764459252357483
9000,-19.6,0.7,9,2,17.2,3.496731996536255
9100,-2.9,0.9,0,5,7.8,111.4123764038086
9200,-11.6,0.8,0,8,12.4,2.2828879356384277
9300,-0.2,0.9,0,1,9.1,1.198217511177063
9400,-1.9,0.9,0,4,7.8,13.670543670654297
9500,-20.3,0.8,9,8,13.0,6.1275129318237305
9600,6.6,1.0,0,2,2.4,14.052445411682129
9700,8.3,1.0,0,0,2.7,0.3084690570831299
9800,-21.2,0.8,0,17,13.0,12.536731719970703
9900,-33.3,0.7,10,14,18.0,0.07709634304046631
10000,-25.4,0.7,0,16,17.1,74.11968231201172
10100,-8.6,0.9,0,10,8.5,79.58549499511719
10200,-8.7,0.9,0,10,8.6,25.09697723388672
10300,-14.9,0.8,0,11,12.7,1.8788468837738037
10400,-11.3,0.9,0,13,8.2,0.0
10500,-6.8,0.9,0,9,7.7,0.25552961230278015
10600,-33.1,0.7,1,22,17.9,3.0847134590148926
10700,8.4,1.0,0,0,2.6,141.24130249023438
10800,-35.8,0.7,0,26,17.5,0.11643297225236893
10900,5.3,1.0,0,2,3.7,0.0
11000,-12.9,0.8,10,0,12.7,0.0
11100,-17.2,0.8,0,12,14.0,1.8081183433532715
