Step,Average Return,% Finished,Crash Counter,Stuck Counter,Avg Steps/Episode,Loss log
0,-443.3,0.0,437,0,50.0,0.0
100,-475.7,0.0,473,0,50.0,79.97160339355469
200,-484.7,0.0,483,0,50.0,47.42405700683594
300,-387.6,0.2,388,0,40.6,100.00003814697266
400,-444.5,0.1,445,0,45.1,79.59100341796875
500,-361.7,0.2,358,0,41.7,5.131051540374756
600,-488.3,0.0,487,0,50.0,48.72566604614258
700,-436.5,0.1,436,0,45.2,365.6947021484375
800,-432.0,0.1,431,0,45.2,0.13670450448989868
900,-438.2,0.1,438,0,45.1,206.33364868164062
1000,-427.9,0.1,426,0,45.6,45.84122085571289
1100,-391.6,0.2,392,0,41.0,45.04518127441406
1200,-438.6,0.1,438,0,45.5,3.843301296234131
1300,-294.0,0.3,289,0,37.2,0.4437800943851471
1400,-435.2,0.1,434,0,45.7,386.3399658203125
1500,-228.2,0.0,198,0,50.0,89.24117279052734
1600,-429.9,0.1,428,0,45.8,10509.791015625
1700,-294.8,0.2,285,0,40.5,0.0
1800,-480.2,0.0,478,0,50.0,55.062034606933594
1900,-323.2,0.3,322,0,36.7,52.17745590209961
2000,-206.1,0.5,205,0,27.1,59.22370529174805
2100,-488.3,0.0,487,0,50.0,334.8229675292969
2200,-336.9,0.1,325,0,45.5,1.2610971927642822
2300,-431.7,0.1,430,0,45.8,67.7921142578125
2400,-427.4,0.1,426,0,45.1,55.735225677490234
2500,-493.7,0.0,493,0,50.0,0.0
2600,-359.9,0.2,355,0,42.6,11.46008586883545
2700,-131.9,0.0,91,0,50.0,257.8811340332031
2800,-386.6,0.0,374,0,50.0,153.4690704345703
2900,-324.7,0.1,311,0,45.9,45.32365417480469
3000,-127.6,0.2,99,0,40.7,4.8287811279296875
3100,-191.0,0.5,185,0,30.0,3.724989414215088
3200,-256.1,0.0,229,0,50.0,434.0250244140625
3300,-392.3,0.1,387,0,45.1,103.53775024414062
3400,-89.5,0.1,50,0,45.6,27.067031860351562
3500,-44.7,0.1,0,0,45.8,106.45169067382812
3600,-39.5,0.2,0,0,41.7,75.6135025024414
3700,-44.7,0.1,0,0,45.8,0.0
3800,-44.8,0.1,0,0,45.9,26.7493953704834
3900,-50.0,0.0,0,0,50.0,8.68979263305664
4000,-184.1,0.0,149,0,50.0,43.605411529541016
4100,-350.6,0.0,334,0,50.0,12.890210151672363
4200,-306.5,0.0,285,0,50.0,35.550514221191406
4300,-38.6,0.2,0,0,40.8,59.6534423828125
4400,-249.3,0.1,228,0,45.2,91.72586059570312
4500,-85.4,0.1,46,0,45.1,0.5018478035926819
4600,-436.4,0.1,436,0,45.1,72.92457580566406
4700,-183.1,0.3,166,0,37.0,3.740112543106079
4800,-44.8,0.1,0,0,45.9,0.14340521395206451
4900,-353.8,0.1,344,0,45.3,86.26393127441406
5000,-338.9,0.2,334,0,40.5,20.607105255126953
5100,-33.4,0.3,0,0,36.7,0.0
5200,-50.0,0.0,0,0,50.0,0.46979671716690063
5300,-44.4,0.1,0,0,45.5,58.10735321044922
5400,-39.5,0.2,0,0,41.7,0.007368871942162514
5500,-163.8,0.1,132,0,46.1,20.57892417907715
5600,-122.1,0.3,100,0,35.4,3.3870255947113037
5700,-88.3,0.1,49,0,45.3,79.190673828125
5800,-38.7,0.2,0,0,40.9,4.460348606109619
5900,-34.4,0.3,0,0,37.7,37.534202575683594
6000,-50.0,0.0,0,0,50.0,6.4283905029296875
6100,-44.4,0.1,0,0,45.5,9.721495628356934
6200,-50.0,0.0,0,0,50.0,18.002952575683594
6300,-44.2,0.1,0,0,45.3,42.317569732666016
6400,-127.8,0.2,99,0,40.9,20.99406623840332
6500,-44.0,0.1,0,0,45.1,25.357563018798828
6600,-162.5,0.0,125,0,50.0,5.002596855163574
6700,-44.3,0.1,0,0,45.4,0.2998321056365967
6800,-44.0,0.1,0,0,45.1,1790.5455322265625
6900,-94.1,0.0,49,0,50.0,3.136197566986084
7000,-50.0,0.0,0,0,50.0,3.4285097122192383
7100,-91.4,0.0,46,0,50.0,0.9809607863426208
